Generated by TimeView III
Date:;Mon May 17 17:09:19 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

0; 250012645.247171;
1; 250012645.249788;
2; 250012645.250653;
3; 250012645.250532;
4; 250012645.250706;
5; 250012645.250089;
6; 250012645.25125;
7; 250012645.249312;
8; 250012645.250763;
9.01; 250012645.248536;
10.01; 250012645.249828;
11.01; 250012645.248999;
12.01; 250012645.249401;
13.01; 250012645.249402;
14.01; 250012645.249345;
15.01; 250012645.249298;
16.01; 250012645.249876;
17.01; 250012645.250037;
18.01; 250012645.248953;
19.02; 250012645.249152;
20.02; 250012645.250916;
21.02; 250012645.250625;
22.02; 250012645.251743;
23.02; 250012645.248632;
24.02; 250012645.25189;
25.02; 250012645.250444;
26.02; 250012645.250768;
27.02; 250012645.249351;
28.02; 250012645.249932;
29.02; 250012645.247302;
30.03; 250012645.248576;
31.03; 250012645.248411;
32.03; 250012645.251134;
33.03; 250012645.249992;
34.03; 250012645.248964;
35.03; 250012645.249558;
36.03; 250012645.249935;
37.03; 250012645.249894;
38.03; 250012645.249627;
39.04; 250012645.249971;
40.04; 250012645.252003;
41.04; 250012645.249482;
42.04; 250012645.249189;
43.04; 250012645.248384;
44.04; 250012645.250543;
45.04; 250012645.250059;
46.04; 250012645.249577;
47.04; 250012645.250683;
48.04; 250012645.252056;
49.05; 250012645.251313;
50.05; 250012645.250406;
51.05; 250012645.249409;
52.05; 250012645.249829;
53.05; 250012645.250545;
54.05; 250012645.248642;
55.05; 250012645.249348;
56.05; 250012645.249679;
57.05; 250012645.250174;
58.05; 250012645.249917;
59.05; 250012645.250702;
60.06; 250012645.247577;
61.06; 250012645.250184;
62.06; 250012645.252075;
63.06; 250012645.250546;
64.06; 250012645.24944;
65.06; 250012645.249109;
66.06; 250012645.250109;
67.06; 250012645.249346;
68.06; 250012645.249006;
69.06; 250012645.249863;
70.06; 250012645.249015;
71.07; 250012645.24822;
72.07; 250012645.250671;
73.07; 250012645.249671;
74.07; 250012645.248964;
75.07; 250012645.251664;
