Generated by TimeView III
Date:;Mon May 17 16:13:18 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

0; 250012595.748393;
1; 250012595.749031;
2; 250012595.748668;
3; 250012595.749543;
4.01; 250012595.745839;
5.01; 250012595.750515;
6.01; 250012595.749702;
7.01; 250012595.749465;
8.01; 250012595.75014;
9.01; 250012595.749749;
10.01; 250012595.748845;
11.01; 250012595.750424;
12.01; 250012595.747408;
13.01; 250012595.750255;
14.01; 250012595.750603;
15.02; 250012595.747899;
16.02; 250012595.747884;
17.02; 250012595.748909;
18.02; 250012595.750011;
19.02; 250012595.750307;
20.02; 250012595.74835;
21.02; 250012595.750428;
22.02; 250012595.750537;
23.02; 250012595.750264;
24.03; 250012595.75121;
25.03; 250012595.749576;
26.03; 250012595.748725;
27.03; 250012595.751241;
28.03; 250012595.751236;
29.03; 250012595.748381;
30.03; 250012595.748868;
31.03; 250012595.749739;
32.03; 250012595.750833;
33.03; 250012595.749489;
34.04; 250012595.748729;
35.04; 250012595.748977;
36.04; 250012595.751223;
37.04; 250012595.748713;
38.04; 250012595.747541;
39.04; 250012595.750251;
40.04; 250012595.75007;
41.04; 250012595.748489;
42.04; 250012595.75001;
43.04; 250012595.749784;
44.04; 250012595.749387;
45.05; 250012595.749009;
46.05; 250012595.748343;
47.05; 250012595.751283;
48.05; 250012595.751293;
49.05; 250012595.751144;
50.05; 250012595.749107;
51.05; 250012595.747991;
52.05; 250012595.749131;
53.05; 250012595.749779;
54.05; 250012595.749931;
55.05; 250012595.749907;
56.05; 250012595.749989;
57.05; 250012595.749327;
58.06; 250012595.74951;
59.06; 250012595.750757;
60.06; 250012595.750113;
61.06; 250012595.750369;
62.06; 250012595.749872;
63.06; 250012595.748358;
64.06; 250012595.749471;
65.06; 250012595.749091;
66.06; 250012595.750612;
67.06; 250012595.749614;
68.06; 250012595.748707;
69.06; 250012595.750096;
70.06; 250012595.751036;
71.06; 250012595.749169;
72.06; 250012595.748793;
73.06; 250012595.749382;
74.07; 250012595.75094;
