Generated by TimeView III
Date:;Mon May 17 15:22:51 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

0; 250012447.497972;
1; 250012447.499134;
2; 250012447.499743;
3; 250012447.499091;
4; 250012447.498971;
5; 250012447.500245;
6; 250012447.499685;
7; 250012447.501729;
8; 250012447.498747;
9.01; 250012447.498185;
10.01; 250012447.499852;
11.01; 250012447.499235;
12.01; 250012447.499492;
13.01; 250012447.498657;
14.01; 250012447.500516;
15.01; 250012447.502348;
16.01; 250012447.500696;
17.01; 250012447.500177;
18.01; 250012447.499523;
19.01; 250012447.498141;
20.02; 250012447.49856;
21.02; 250012447.499332;
22.02; 250012447.49879;
23.02; 250012447.499447;
24.02; 250012447.499206;
25.02; 250012447.501475;
26.02; 250012447.500295;
27.02; 250012447.498843;
28.02; 250012447.499392;
29.02; 250012447.500017;
30.02; 250012447.500124;
31.03; 250012447.500295;
32.03; 250012447.499996;
33.03; 250012447.500518;
34.03; 250012447.499666;
35.03; 250012447.501025;
36.03; 250012447.49919;
37.03; 250012447.499384;
38.03; 250012447.500073;
39.03; 250012447.498733;
40.03; 250012447.499458;
41.04; 250012447.499839;
42.04; 250012447.501927;
43.04; 250012447.500591;
44.04; 250012447.501881;
45.04; 250012447.498314;
46.04; 250012447.499303;
47.04; 250012447.500379;
48.04; 250012447.500087;
49.04; 250012447.498829;
50.04; 250012447.499837;
51.05; 250012447.501539;
52.05; 250012447.499562;
53.05; 250012447.500787;
54.05; 250012447.498999;
55.05; 250012447.499256;
56.05; 250012447.499815;
57.05; 250012447.500486;
58.05; 250012447.499454;
59.05; 250012447.501395;
60.05; 250012447.497688;
61.06; 250012447.499955;
62.06; 250012447.500302;
63.06; 250012447.501299;
64.06; 250012447.499849;
65.06; 250012447.499085;
66.06; 250012447.499301;
67.06; 250012447.501434;
68.06; 250012447.501403;
69.06; 250012447.499186;
70.06; 250012447.498895;
71.06; 250012447.499573;
72.07; 250012447.500518;
73.07; 250012447.499051;
74.07; 250012447.501058;
75.07; 250012447.500207;
